"","1B","2B","3B","HR","FO","K","BB","other"
"427184",-0.00731747482982665,0,0,-0.027343624186234,0.00973576472573358,-0.029491868356851,0.00150153774572567,0.00964261482606281
"427192",-0.00517455428035019,0,0,0.0276239636370922,-0.00652949259746366,0.0335698650761059,-0.000223276639812766,0.0246579044621956
"427197",-0.0219299654521314,0,0,0.0110318180320549,0.00139033378988663,0.0496477945873594,-0.00261828816798287,0.032084978709098
"427206",0.0202765391234725,0,0,0.0119108111199078,-0.00514855676770699,-0.00106353751923582,0.00175417358204118,0.000419597908009321
"427220",0.00629784784420085,0,0,0.028244154727522,-0.00110750708676175,0.022312327914538,-0.00721880250029836,0.03336058383126
"427224",-0.0220713453760276,0,0,0.0739156592540679,0.00094124784612776,0.017307534071695,-0.00476769624766267,0.0689089408583741
"427235",-0.0116152613578229,0,0,0.0238725529525822,0.00185041719875169,-0.0317074307317489,0.00382517405865378,-0.00462584637951547
"427243",0.0130982427832178,0,0,0.010575380639483,-0.0118759230325377,-0.0159096074135347,0.00795056676927264,-0.0380877459391174
"427248",0.0190269427080991,0,0,0.011595677396206,-0.00303077992124262,-0.0320286093039727,0.00371712119589527,0.00729619699787092
"427269",-0.00953253764165117,0,0,0.0320594944707694,0.00398838771928957,-0.0508183037096513,0.00378596788691708,0.0369434893524673
"427286",-0.000223335636726446,0,0,-0.0668325445836653,0.00731528130197607,-0.0432439513368371,0.00416230769505281,-0.010141998617763
"427292",-0.0337649233078793,0,0,-0.032923326072974,0.0062814083235902,0.0539771724616817,-0.00469111576900557,-0.00665741052683306
"427299",0.0084449279722138,0,0,-0.0590227245548875,-0.000916202305602452,-0.00116280535754822,0.00300884507192566,0.0113725993845302
"427315",0.021724223442918,0,0,0.117512854861269,-0.0165231266070862,-0.0219745736265028,0.00598664888365753,0.0319257675485571
"427339",-0.00379868111003734,0,0,-0.115397321147547,0.00970612902273734,-0.0041032429528037,0.00128061296651449,0.0197864441550282
"427344",0.0165170064864825,0,0,-0.0754898992600309,-0.00691831529745343,0.0378395208407545,-0.00287033045658687,-0.00597574101080167
"427361",-0.0164367027741785,0,0,0.0151308844912841,0.0117091247172985,0.0112731954245387,-0.0100111404226697,-0.0550410079693065
"427362",-0.0111163773409352,0,0,-0.0477524925575085,0.00998952686541902,-0.00714081704045512,0.00364839931777391,-0.0310126864953402
"427366",0.0206643239870543,0,0,-0.0699483258334038,-0.00460692874868983,0.0384851458925373,-0.00174306039475448,-0.034103017005431
"427413",-0.00980476081672287,0,0,-0.0695682842257932,0.00636547607453099,0.0191422939509105,-0.00340029245368158,-0.0358281527865437
"427424",-0.0130937751681554,0,0,-0.0432471892595117,0.0155508931523487,-0.0267546686376618,-0.0038574764518396,-0.024511378085459
"427509",-0.0243752940554655,0,0,-1.61207021135996e-05,-0.00313904964917842,0.0491459410441469,0.00119411004403939,-0.00695382236822837
"427520",0.00790161127252968,0,0,0.108718644517649,-0.00780791640295726,-0.00495919639621696,-0.000884156677466637,-0.0256996268203693
"427533",-0.000362755333008086,0,0,-0.0712191712473946,-0.00454751699422222,0.0153628600307491,0.00244458251222131,0.00840422726281693
"427534",-0.0139610792164777,0,0,0.0535253474214705,-0.00327480949322051,-0.0185854123888391,0.00353345321323752,-0.0403004801467691
"427537",-0.0451651383457903,0,0,-0.0278643008979297,0.0152036291371478,-0.0478626582564475,0.00647267408163941,-0.030939087231785
"427538",-0.000773727994774002,0,0,0.0222747781044173,0.00449371317510646,-0.0234537904203859,-0.005273442744337,-0.0607284170518058
"427552",0.00477178485685712,0,0,-0.0435367761049808,-0.00548417505121093,-0.0128333523658738,0.00881400087488203,0.0134207896116507
"427554",-0.00484162990458723,0,0,0.0171546284648517,-0.0106338278159507,0.0469198895116736,-0.00105435781389052,-0.0337167580182048
"428442",0.018266225555351,0,0,-0.000171729588246987,-0.00620691702926412,-0.0263282558701789,-0.00150180081532356,0.134394722253585
"429805",-0.0113690261635061,0,0,-0.0608197269659735,0.0166957591264395,0.00234572223078665,-0.00684569237031908,-0.0552892635340288
"431232",-0.0279106569762144,0,0,0.000161045032128229,0.0112839033588517,-0.0381874395890607,0.00105966440367493,-0.0534209842709922
"482608",-0.00288470331424476,0,0,-0.0300798252438533,-0.00414947736316905,0.0205301015472175,0.000427616041736561,0.0532917318820672
"482620",0.0324193058991437,0,0,0.100143811188626,-0.00725155543399987,-0.0371147430835766,-0.00285543126727381,0.0155086689826211
"482631",0.0202285120702624,0,0,0.0467300010921714,-0.00724365074757549,0.0205577541736315,-0.00567312764932331,-0.0377682691895725
"482641",-0.00684836525511157,0,0,0.0712827763217724,0.013066362021989,-0.0362955110863483,-0.00366932445081852,-0.0124539079114411
"482663",0.017359673722934,0,0,0.0748705532252635,-0.0121463638794637,-0.00558772483352248,0.000793513313224538,-0.0318783627192814
"482666",0.034741883143216,0,0,-0.028622694055231,-0.00522982481042093,-0.0158752806872959,0.000241991704565874,-0.0583628438140448
"483561",-0.00827497235767059,0,0,-0.0185249042954462,-0.00391829558769165,-0.00976449114684232,0.00889730338157237,-0.010594281488868
"483564",-0.00400980496680656,0,0,0.0322249439247045,-0.00575015399395029,0.0437666294236017,-0.000919887801250771,-0.0184665245839368
"483569",-0.00255094026550757,0,0,-0.076154283368538,-0.00396299941825881,0.0178248719462315,-0.000437555782460566,-0.00660182640375372
"483630",0.00826919661034592,0,0,0.0865602609808896,-0.00510023928346458,-0.0314993047243523,0.00235291897341468,-0.00626866060603982
